id,url,headline,author,date
0,https://www.theverge.com/23334224/twitter-extremism-features-health-research-team-elon-musk-acquisition,Twitter had a new plan to fight extremism — then Elon arrived,Zoe Schiffer,
1,https://www.theverge.com/23323550/apple-maps-10-year-anniversary-iphone-google,Apple Maps turns 10 — and it’s finally worth using,Jay Peters,
2,https://www.theverge.com/23323325/honor-70-review-120hz-display-snapdragon-778g-plus-triple-camera,"Honor 70 review: no deal-breakers, no showstoppers",Jon Porter,
3,https://www.theverge.com/2022/9/2/23326868/dalle-midjourney-ai-promptbase-prompt-market-sales-artist-interview,Professional AI whisperers have launched a marketplace for DALL-E prompts,Adi Robertson,
4,https://www.theverge.com/2022/9/2/23334150/lg-moodup-fridge-led-rgb-lighting-bluetooth-speaker-music-mood,LG’s MoodUp is a fridge that’s as flashy on the outside as I feel on the inside,Jon Porter,
5,https://www.theverge.com/23321544/nasa-artemis-sls-orion-explained,NASA’s megarocket is about to blast off toward the Moon,Mary Beth Griggs,
6,https://www.theverge.com/2022/9/1/23332907/lenovo-glasses-t1-yoga-smart-display-ifa,Lenovo’s Glasses T1 let you bring a private big screen display with you,Umar Shakir,
7,https://www.theverge.com/23330512/best-labor-day-sales-2022-tech-deals-macbook-laptops-earbuds-smart-home-tablets,The best Labor Day deals happening now,,
8,https://www.theverge.com/23199281/back-to-school-student-gift-ideas-college-high-school-dorm-supplies-tech-2022,The Verge’s 2022 back-to-school gift guide,Alice Newcome-Beill,2022-09-02
9,https://www.theverge.com/2022/9/2/23326730/honor-magic-v2-foldable-international-china-release-app-market,"China is all in on foldables — and Honor’s CEO thinks the rest of the world is ready, too",Jon Porter,2022-09-02
10,https://www.theverge.com/2022/9/2/23334338/elon-musk-twitter-david-sacks-subpoena-all-in-podcast,Judge agrees Musk’s buddy David Sacks is fighting a subpoena for podcast clout,Richard Lawler,2022-09-02
11,https://www.theverge.com/23332916/bts-how-to-members-weverse-social-media,So you just discovered BTS,Monica Chin,2022-09-02
12,https://www.theverge.com/2022/9/2/23333400/google-chromeos-touch-android-games-keyboard-controls,A new ChromeOS gaming overlay puts touch-based Android games on your PC,Richard Lawler,
13,https://www.theverge.com/2022/9/2/23334102/google-play-third-party-payment-fee-countries,Google expands Play Store billing alternatives to many countries,Thomas Ricker,2022-09-02
14,https://www.theverge.com/2022/9/1/23333652/apple-store-oklahoma-city-union-election-cwa,Another Apple Store union election is brewing,Mitchell Clark,2022-09-02
15,https://www.theverge.com/2022/9/1/23333362/apple-app-store-lawsuit-flicktype-kosta-eleftheriou-scams,Apple settles lawsuit over its App Store moderation and power ,Mitchell Clark,2022-09-01
16,https://www.theverge.com/2022/9/1/23330632/free-to-play-gacha-games-closures-dragalia-lost-kingdom-hearts,The ticking time bomb of modern free-to-play games,Alicia Haddick,2022-09-01
18,https://www.theverge.com/2022/9/1/23333605/microsoft-xbox-game-pass-friends-family-pricing-confirmed,Microsoft confirms new Xbox Game Pass Friends & Family plan and its pricing,Tom Warren,2022-09-01
19,https://www.theverge.com/good-deals/22916033/best-tablet-deals,Here are the best tablet deals right now,Alice Newcome-Beill,2022-09-01
